filename,filepath,song_name,artist_name,title,artist,album,id3_genre,subgenre,label,duration_s
01 - BM - Deewani Mastani [DJMaza.Info].mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 - BM - Deewani Mastani [DJMaza.Info].mp3,Deewani Mastani,Shreya Ghoshal,Deewani Mastani - DJMaza.Info,"Shreya Ghoshal, Ganesh Chandanshive, Mujtaba Aziz Naza, Shahdab Faridi, Altmash Faridi & Farhan Sabri",Bajirao Mastani (2015),Soundtrack,devotional/folk,bollywood,340.2
01 - Baarish - DownloadMing.SE.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 - Baarish - DownloadMing.SE.mp3,Baarish,Ash King,Baarish -  DownloadMing.SE,Ash King & Shashaa Tirupati,Half Girlfriend (2017),DownloadMing.SE,bollywood_pop,bollywood,276.4
01 - Baby Ko Bass Pasand Hai - DownloadMing.SE.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 - Baby Ko Bass Pasand Hai - DownloadMing.SE.mp3,Baby Ko Bass Pasand Hai,Vishal Dadlani,Baby Ko Bass Pasand Hai -  DownloadMing.io,"Vishal Dadlani, Shalmali Kholgade, Ishita & Badshah",Sultan (2016),DownloadMing.io,hindi_hiphop,bollywood,253.3
01 - Badri Ki Dulhania - Title Track - DownloadMing.SE.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 - Badri Ki Dulhania - Title Track - DownloadMing.SE.mp3,Badri Ki Dulhania,Dev Negi,Badri Ki Dulhania -  DownloadMing.SE,"Dev Negi, Neha Kakkar, Monali Thakur, Ikka",Badrinath Ki Dulhania (2017),DownloadMing.SE,bollywood_pop,bollywood,206.9
01 - Befikra (320 Kbps) - DownloadMing.SE.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 - Befikra (320 Kbps) - DownloadMing.SE.mp3,Befikra,Meet Bros,Befikra (320 Kbps) -  DownloadMing.io,Meet Bros & Aditi Singh Sharma,Befikra (2016),DownloadMing.io,bollywood_pop,bollywood,351.7
01 - Bloody Hell - DownloadMing.SE.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 - Bloody Hell - DownloadMing.SE.mp3,Bloody Hell,Sunidhi Chauhan,Bloody Hell -  DownloadMing.SE,Sunidhi Chauhan,Rangoon (2017),DownloadMing.SE,bollywood_pop,bollywood,252.5
01 - Bol - Hona Tha Pyar [www.DJMaza.Com].mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 - Bol - Hona Tha Pyar [www.DJMaza.Com].mp3,Hona Tha Pyar,Atif Aslam,Hona Tha Pyar - www.DJMaza.Com,Atif Aslam & Hadiqa Kiani,Bol (2011),Bollywood,bollywood_pop,bollywood,222.0
01 - Dil Chori - DownloadMing.SE.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 - Dil Chori - DownloadMing.SE.mp3,Dil Chori,Ishers,Dil Chori -  DownloadMing.SE,"Ishers, Simar Kaur, Yo Yo Honey Singh",Sonu Ke Titu Ki Sweety (2018),DownloadMing.SE,hindi_hiphop,bollywood,4.6
01 - Dilwale - Gerua [DJMaza.Info].mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 - Dilwale - Gerua [DJMaza.Info].mp3,Gerua,Arijit Singh,Gerua - DJMaza.Info,Arijit Singh & Antara Mitra,Dilwale (2015),Bollywood Music,bollywood_pop,bollywood,345.6
01 - Dj Waley Babu (ft. Aastha Gill) - Badshah - DownloadMing.SE.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 - Dj Waley Babu (ft. Aastha Gill) - Badshah - DownloadMing.SE.mp3,Dj Waley Babu (ft. Aastha Gill,Badshah,Dj Waley Babu (ft. Aastha Gill) -  DownloadMing.SE,Badshah ft. Aastha Gill,Dj Waley Babu (ft. Aastha Gill) - Badshah (2015),DownloadMing.SE,remix/mashup,bollywood,169.1
01 - Ik Vaari Aa (320 Kbps) - DownloadMing.SE.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 - Ik Vaari Aa (320 Kbps) - DownloadMing.SE.mp3,Ik Vaari Aa,Arijit Singh,Ik Vaari Aa (320 Kbps) -  DownloadMing.SE,Arijit Singh,Raabta (2017),DownloadMing.SE,bollywood_pop,bollywood,274.7
01 - KPC - Manja [MP3Khan.Com] - Copy.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 - KPC - Manja [MP3Khan.Com] - Copy.mp3,Manja - MP3Khan.Com,Amit Trivedi,Manja - MP3Khan.Com,Amit Trivedi,Kai Po Che (2013),Bollywood Music,bollywood_pop,bollywood,217.0
01 - Mercy (320 Kbps) - DownloadMing.SE.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 - Mercy (320 Kbps) - DownloadMing.SE.mp3,Mercy,Badshah,Mercy (320 Kbps) -  DownloadMing.SE,Badshah,Mercy Badshah (2017),DownloadMing.SE,hindi_hiphop,bollywood,162.5
01 - Rockstar - Phir Se Ud Chala [www.DJMaza.Com].mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 - Rockstar - Phir Se Ud Chala [www.DJMaza.Com].mp3,Phir Se Ud Chala,Mohit Chauhan,Phir Se Ud Chala - www.DJMaza.Com,Mohit Chauhan,Rockstar (2011),Bollywood Music,bollywood_pop,bollywood,271.9
01 - Saanson Ko.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 - Saanson Ko.mp3,Saanson Ko - Zid,Arijit Singh,Saanson Ko - Zid,"Arijit Singh,Sharib Toshi",Various Artists,Other,bollywood_pop,bollywood,286.6
01 - Sanam Re - Sanam Re [DJMaza.Info].mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 - Sanam Re - Sanam Re [DJMaza.Info].mp3,Sanam Re,Mithoon,Sanam Re - DJMaza.Info,Mithoon & Arijit Singh,Sanam Re (2016),Soundtrack,bollywood_pop,bollywood,308.7
01 - Satrangi Re(dailymaza.com).mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 - Satrangi Re(dailymaza.com).mp3,Satrangi Re - MyMp3Song.info,Arijit Singh,Satrangi Re - MyMp3Song.info,"Arijit Singh, Dawn Cardo",Wrong Side Raju,Gujarati,gujarati/garba,bollywood,219.4
01 - Swag Se Swagat - DownloadMing.SE.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 - Swag Se Swagat - DownloadMing.SE.mp3,Swag Se Swagat,Vishal Dadlani,Swag Se Swagat -  DownloadMing.SE,"Vishal Dadlani, Neha Bhasin",Tiger Zinda Hai (2017),DownloadMing.SE,bollywood_pop,bollywood,236.0
01 - Thug Ranjha (320 Kbps) - DownloadMing.SE.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 - Thug Ranjha (320 Kbps) - DownloadMing.SE.mp3,Thug Ranjha,Akasa Singh,Thug Ranjha (320 Kbps) -  DownloadMing.SE,Akasa Singh,Thug Ranjha (2018),DownloadMing.SE,hindi_hiphop,bollywood,184.6
01 Ban Ja Rani - Tumhari Sulu (Guru) 190Kbps.mp3,/home/anand_dev/STUDY/NU/spring26/CS5100_FAI/bollywood/Extra Unsorted/01 Ban Ja Rani - Tumhari Sulu (Guru) 190Kbps.mp3,Ban Ja Rani,Guru Randhawa,Ban Ja Rani - PagalWorld.La,Guru Randhawa - PagalWorld.La,Tumhari Sulu - PagalWorld.La,Bollywood,punjabi_pop,bollywood,226.0
