run_id,epoch,train_loss,val_loss,val_acc,best_val_acc,lr_max
20260415_001728,1,1.334110646955669,1.0691059883832932,0.66625,0.66625,0.0004945478263830845
20260415_001728,2,0.9905078081451356,0.8869596827030182,0.72575,0.72575,0.00047842959168182885
20260415_001728,3,0.8359449841082096,0.8034731160998344,0.75225,0.75225,0.00045234974009654937
20260415_001728,4,0.6986776269720867,0.7610226288437844,0.77175,0.77175,0.0004174480862865351
20260415_001728,5,0.6244959987932817,0.79253154027462,0.75275,0.77175,0.00037525
20260415_001728,6,0.5670885477769189,0.703765007019043,0.79225,0.79225,0.0003275997400965494
20260415_001728,7,0.5007749628410675,0.6524163302183151,0.79825,0.79825,0.00027657985158527956
20260415_001728,8,0.44437859931692947,0.7000427884459496,0.7815,0.79825,0.00022442014841472048
20260415_001728,9,0.3942317372637335,0.6243169173002243,0.8225,0.8225,0.00017340025990345064
20260415_001728,10,0.3313547464341391,0.6455384789556264,0.8125,0.8225,0.00012575000000000005
20260415_001728,11,0.2807362279144581,0.6026997394114733,0.83075,0.83075,8.355191371346494e-05
20260415_001728,12,0.23380200074013555,0.605162735041231,0.83425,0.83425,4.8650259903450626e-05
20260415_001728,13,0.19079140328228822,0.6204932657927275,0.82975,0.83425,2.2570408318171052e-05
20260415_001728,14,0.16375421412521973,0.6174558807462454,0.84,0.84,6.45217361691548e-06
20260415_001728,15,0.1429455333984515,0.6220302607305348,0.84075,0.84075,1e-06
