run_id,epoch,train_loss,val_loss,val_acc,best_val_acc,lr_max
20260410_204927,1,1.365786,1.015086,0.6965,0.6965,0.0009996146
20260410_204927,2,0.988881,0.940464,0.71675,0.71675,0.0009984588
20260410_204927,3,0.887579,0.92482,0.719,0.719,0.0009965346
20260410_204927,4,0.803532,0.928219,0.7195,0.7195,0.0009938448
20260410_204927,5,0.721347,0.959486,0.71175,0.7195,0.0009903936
20260410_204927,6,0.641405,0.933658,0.7215,0.7215,0.0009861863
20260410_204927,7,0.564539,1.016579,0.708,0.7215,0.0009812295
20260410_204927,8,0.508157,0.989344,0.7135,0.7215,0.0009755307
20260410_204927,9,0.437076,1.097336,0.70525,0.7215,0.0009690988
20260410_204927,10,0.377888,1.13659,0.705,0.7215,0.0009619436
20260410_204927,11,0.319608,1.169277,0.712,0.7215,0.0009540762
