run_id,epoch,train_loss,val_loss,val_acc,best_val_acc,lr_max
20260402_024349,1,1.006087,0.902547,0.7265,0.7265,0.0009996146
20260402_024349,2,0.863022,0.875636,0.7425,0.7425,0.0009984588
20260402_024349,3,0.798192,0.839696,0.7445,0.7445,0.0009965346
20260402_024349,4,0.734944,0.873536,0.7355,0.7445,0.0009938448
20260402_024349,5,0.690109,0.850865,0.74675,0.74675,0.0009903936
20260402_024349,6,0.635298,0.881857,0.743,0.74675,0.0009861863
20260402_024349,7,0.577041,0.964688,0.7255,0.74675,0.0009812295
20260402_024349,8,0.540386,0.976963,0.7325,0.74675,0.0009755307
20260402_024349,9,0.496177,0.953628,0.74025,0.74675,0.0009690988
20260402_024349,10,0.45791,1.021427,0.745,0.74675,0.0009619436
