run_id,epoch,train_loss,val_loss,val_acc,best_val_acc,lr_max
20260330_100957,1,1.30708,1.098553,0.6735,0.6735,0.0009999036
20260330_100957,2,1.026576,1.097017,0.67475,0.67475,0.0009996146
20260330_100957,3,0.94215,1.03597,0.6815,0.6815,0.0009991329
20260330_100957,4,0.867101,1.027719,0.70425,0.70425,0.0009984588
20260330_100957,5,0.80067,0.923005,0.723,0.723,0.0009975926
20260330_100957,6,0.758378,0.925769,0.71225,0.723,0.0009965346
20260330_100957,7,0.70745,0.982978,0.70725,0.723,0.0009952851
20260330_100957,8,0.651668,0.963821,0.717,0.723,0.0009938448
20260330_100957,9,0.589328,0.975771,0.716,0.723,0.0009922141
20260330_100957,10,0.543321,1.029694,0.711,0.723,0.0009903936
