run_id,epoch,train_loss,val_loss,val_acc,best_val_acc,lr_max
20260402_042740,1,1.981211,1.958236,0.32775,0.32775,0.0004998766
20260402_042740,2,1.837686,1.728622,0.4185,0.4185,0.0004995067
20260402_042740,3,1.687123,1.630841,0.4735,0.4735,0.0004988905
20260402_042740,4,1.615768,1.54,0.502,0.502,0.0004980287
20260402_042740,5,1.573012,1.601969,0.50525,0.50525,0.0004969221
20260402_042740,6,1.524207,1.412211,0.5425,0.5425,0.0004955719
20260402_042740,7,1.469971,1.356985,0.56875,0.56875,0.0004939793
20260402_042740,8,1.423107,1.33967,0.57375,0.57375,0.0004921459
20260402_042740,9,1.411123,1.331009,0.57775,0.57775,0.0004900736
20260402_042740,10,1.372781,1.343131,0.576,0.57775,0.0004877644
20260402_042740,11,1.360261,1.292977,0.59,0.59,0.0004852205
20260402_042740,12,1.336536,1.308192,0.5845,0.59,0.0004824445
20260402_042740,13,1.309397,1.250225,0.61375,0.61375,0.0004794391
20260402_042740,14,1.298987,1.236842,0.616,0.616,0.0004762072
20260402_042740,15,1.287924,1.273822,0.60775,0.616,0.0004727522
20260402_042740,16,1.268315,1.226745,0.60925,0.616,0.0004690773
20260402_042740,17,1.23979,1.225673,0.61575,0.616,0.0004651862
20260402_042740,18,1.238136,1.215163,0.63125,0.63125,0.0004610828
20260402_042740,19,1.220752,1.331842,0.5845,0.63125,0.000456771
20260402_042740,20,1.209155,1.150492,0.64125,0.64125,0.0004522552
20260402_042740,21,1.196073,1.164249,0.63425,0.64125,0.0004475398
20260402_042740,22,1.191703,1.159531,0.636,0.64125,0.0004426295
20260402_042740,23,1.169837,1.165629,0.63725,0.64125,0.000437529
20260402_042740,24,1.164232,1.109632,0.649,0.649,0.0004322435
20260402_042740,25,1.149175,1.163983,0.63675,0.649,0.0004267782
20260402_042740,26,1.139049,1.103143,0.64875,0.649,0.0004211384
20260402_042740,27,1.136486,1.105505,0.6555,0.6555,0.0004153297
20260402_042740,28,1.12326,1.099301,0.656,0.656,0.0004093578
20260402_042740,29,1.113399,1.109476,0.656,0.656,0.0004032287
20260402_042740,30,1.102528,1.109921,0.652,0.656,0.0003969484
20260402_042740,31,1.095988,1.140656,0.64225,0.656,0.000390523
20260402_042740,32,1.081646,1.06082,0.66525,0.66525,0.000383959
20260402_042740,33,1.076743,1.100929,0.6605,0.66525,0.0003772628
20260402_042740,34,1.073862,1.09593,0.65775,0.66525,0.000370441
20260402_042740,35,1.064296,1.068214,0.66775,0.66775,0.0003635004
20260402_042740,36,1.050232,1.075878,0.67,0.67,0.0003564477
20260402_042740,37,1.039096,1.082265,0.6575,0.67,0.00034929
20260402_042740,38,1.030455,1.059564,0.66475,0.67,0.0003420343
20260402_042740,39,1.019316,1.080855,0.66375,0.67,0.0003346878
20260402_042740,40,1.024805,1.059417,0.6685,0.67,0.0003272577
20260402_042740,41,1.01342,1.068127,0.6585,0.67,0.0003197514
20260402_042740,42,1.000696,1.053411,0.67175,0.67175,0.0003121762
20260402_042740,43,0.986936,1.046967,0.6805,0.6805,0.0003045397
20260402_042740,44,0.980388,1.031564,0.675,0.6805,0.0002968494
20260402_042740,45,0.971914,1.038425,0.67425,0.6805,0.0002891128
20260402_042740,46,0.96102,1.047673,0.68275,0.68275,0.0002813377
20260402_042740,47,0.95865,1.052992,0.68125,0.68275,0.0002735316
20260402_042740,48,0.942559,1.026048,0.6775,0.68275,0.0002657023
20260402_042740,49,0.943285,1.027842,0.68575,0.68575,0.0002578575
20260402_042740,50,0.932582,1.054492,0.68425,0.68575,0.000250005
