run_id,epoch,train_loss,val_loss,val_acc,best_val_acc,lr_max
20260331_020340,1,2.009995,1.979133,0.216406,0.216406,0.0009993148
20260331_020340,2,1.956205,2.007402,0.232813,0.232813,0.000997261
20260331_020340,3,1.906744,1.764043,0.338281,0.338281,0.0009938442
20260331_020340,4,1.822307,1.821447,0.310156,0.338281,0.0009890739
20260331_020340,5,1.777469,1.78734,0.322656,0.338281,0.0009829631
20260331_020340,6,1.754748,1.721328,0.365625,0.365625,0.0009755285
20260331_020340,7,1.734935,1.674946,0.366406,0.366406,0.0009667905
20260331_020340,8,1.704522,1.688114,0.373437,0.373437,0.0009567732
20260331_020340,9,1.69245,1.6943,0.346094,0.373437,0.0009455038
20260331_020340,10,1.669698,1.723114,0.379688,0.379688,0.0009330134
20260331_020340,11,1.634396,1.607907,0.417187,0.417187,0.0009193361
20260331_020340,12,1.616319,1.664215,0.378125,0.417187,0.0009045095
20260331_020340,13,1.594472,1.588679,0.428125,0.428125,0.0008885741
20260331_020340,14,1.578354,1.548161,0.455469,0.455469,0.0008715737
20260331_020340,15,1.574135,1.506598,0.442969,0.455469,0.0008535549
20260331_020340,16,1.560534,1.545479,0.430469,0.455469,0.000834567
20260331_020340,17,1.546321,1.53502,0.460938,0.460938,0.000814662
20260331_020340,18,1.518049,1.509067,0.440625,0.460938,0.0007938947
20260331_020340,19,1.51747,1.47599,0.45625,0.460938,0.0007723218
20260331_020340,20,1.508095,1.478454,0.474219,0.474219,0.0007500025
20260331_020340,21,1.487384,1.494017,0.476562,0.476562,0.000726998
20260331_020340,22,1.469237,1.475651,0.475781,0.476562,0.0007033713
20260331_020340,23,1.457211,1.450699,0.4875,0.4875,0.0006791872
20260331_020340,24,1.451564,1.440654,0.495312,0.495312,0.000654512
20260331_020340,25,1.448067,1.42378,0.495312,0.495312,0.0006294132
20260331_020340,26,1.429684,1.431816,0.489063,0.495312,0.0006039598
20260331_020340,27,1.400343,1.405012,0.507812,0.507812,0.0005782215
20260331_020340,28,1.394883,1.384216,0.514844,0.514844,0.0005522687
20260331_020340,29,1.369554,1.365561,0.514062,0.514844,0.0005261727
20260331_020340,30,1.360597,1.426329,0.484375,0.514844,0.000500005
